======================================================================
SIMPLIFIED TABLE: SITE CODE | SITE NAME | OFFERING STAND
======================================================================
Site Code    Site Name          Stand   
KLB18        Kalibangan         50      
KLB19        Kalibangan         13      
KLB2         Kalibangan         35b     
KLB20        Kalibangan         n/a     
KLB21        Kalibangan         n/a     
KLB22        Kalibangan         48      
KLB23        Kalibangan         47      
KLB24        Kalibangan         n/a     
KLB26        Kalibangan         51      
KLB3         Kalibangan         n/a     
KLB4         Kalibangan         8       
KLB5         Kalibangan         16      
KLB6         Kalibangan         45      
KLB7         Kalibangan         46      
KLB8         Kalibangan         8b      
KLB9         Kalibangan         2       
L1           Lothal             1       
L10          Lothal             n/a     
L11          Lothal             n/a     
L12          Lothal             n/a     
L13          Lothal             23      
L14          Lothal             n/a     
L15          Lothal             n/a     
L16          Lothal             n/a     
L17          Lothal             16?     
L18          Lothal             3       
L19          Lothal             24      
L2           Lothal             n/a     
L20          Lothal             n/a     
L21          Lothal             4       
L22          Lothal             n/a     
L23          Lothal             3       
L24          Lothal             n/a     
L25          Lothal             n/a     
L26          Lothal             5       
L27          Lothal             n/a     
L28          Lothal             blank   
L3           Lothal             n/a     
L30          Lothal             blank   
L35          Lothal             7       
L36          Lothal             blank   
L37          Lothal             n/a     
L38          Lothal             blank   
L39          Lothal             25      
L4           Lothal             n/a     
L40          Lothal             n/a     
L41          Lothal             n/a     
L42          Lothal             26      
L43          Lothal             n/a     
L5           Lothal             2       
L6           Lothal             n/a     
L65          Lothal             23      
L66          Lothal             blank   
L7           Lothal             n/a     
L9           Lothal             n/a     
LH1          Lohumjodaro        32      
M1           Mohenjo-daro       72      
M10          Mohenjo-daro       n/a     
M100         Mohenjo-daro       16      
M104         Mohenjo-daro       40      
M11          Mohenjo-daro       73      
M12          Mohenjo-daro       76      
M13          Mohenjo-daro       54      
M14          Mohenjo-daro       40b     
M142         Mohenjo-daro       34      
M144         Mohenjo-daro       48      
M145         Mohenjo-daro       34      
M146         Mohenjo-daro       n/a     
M15          Mohenjo-daro       54      
M16          Mohenjo-daro       38      
M1660        Mohenjo-daro       106     
M1662        Mohenjo-daro       78      
M1673        Mohenjo-daro       34      
M1683        Mohenjo-daro       16      
M1698        Mohenjo-daro       46      
M17          Mohenjo-daro       39      
M170         Mohenjo-daro       30      
M1711        Mohenjo-daro       28      
M1718        Mohenjo-daro       107     
M1720        Mohenjo-daro       30      
M173         Mohenjo-daro       42b     
M1743        Mohenjo-daro       84      
M1746        Mohenjo-daro       84      
M1765        Mohenjo-daro       62      
M1767        Mohenjo-daro       39      
M1778        Mohenjo-daro       16      
M1794        Mohenjo-daro       16      
M18          Mohenjo-daro       77      
M1827        Mohenjo-daro       94      
M1833        Mohenjo-daro       9       
M19          Mohenjo-daro       40      
M2           Mohenjo-daro       36      
M20          Mohenjo-daro       38      
M201         Mohenjo-daro       108     
M21          Mohenjo-daro       78      
M214         Mohenjo-daro       44      
M22          Mohenjo-daro       72      
M223         Mohenjo-daro       109     
M227         Mohenjo-daro       32      
M23          Mohenjo-daro       28      
M230         Mohenjo-daro       27      
